Drill,Category,Intensity,Baseline,Base Loss Unit %,Nominal Condition Drain %,Training XP / Player,Perfect Conditions L0 Exact %,L1 Exact %,L2 Exact %,L3 Exact %,L4 Exact %,Affected Stat Count,Affected Stats,Direct UI Verified,Evidence
Solo Finish,Attacking,Easy,Yes,0.75,1.5,2,1.35,1.275,1.2000000000000002,1.125,0.75,5,"FINISHING, TACKLING, ANTICIPATION, DRIBBLING, RUSHING OUT",Yes,63903
Run & Strike,Attacking,Easy,Yes,0.75,1.5,2,1.35,1.275,1.2000000000000002,1.125,0.75,4,"ANTICIPATION, SPEED, SHOOTING, PASSING",Yes,63903
Dead Ball Practice,Attacking,Medium,Yes,0.75,2.25,3,2.025,1.9124999999999999,1.8,1.6875,1.125,5,"RUSHING OUT, CROSSING, SHOOTING, HEADING, MARKING",Yes,63903
Target Practice,Attacking,Medium,Yes,0.75,2.25,3,2.025,1.9124999999999999,1.8,1.6875,1.125,5,"AGILITY, FINISHING, STRENGTH, REFLEXES, SHOOTING",Yes,63903/63904
Cone Weave,Attacking,Hard,Yes,0.75,3,4,2.7,2.55,2.4000000000000004,2.25,1.5,4,"SPEED, FITNESS, PASSING, DRIBBLING",Yes,63903/63904
Wide Channel,Attacking,Hard,Yes,0.75,3,4,2.7,2.55,2.4000000000000004,2.25,1.5,5,"FINISHING, CROSSING, PUNCHING, SHOOTING, HEADING",Yes,63904
Break Away,Attacking,Very Hard,Yes,0.75,3.75,5,3.375,3.1875,3,2.8125,1.875,5,"FINISHING, CROSSING, COMMUNICATION, PASSING, CREATIVITY",Yes,63904
Tactical Review,Defending,Very Easy,Yes,0.75,0.75,1,0.675,0.6375,0.6000000000000001,0.5625,0.375,4,"CREATIVITY, BRAVERY, POSITIONING, COMMUNICATION",Yes,63905
Head Drill,Defending,Easy,Yes,0.75,1.5,2,1.35,1.275,1.2000000000000002,1.125,0.75,4,"CREATIVITY, HEADING, POSITIONING, PASSING",Yes,63905
Line Hold,Defending,Medium,Yes,0.75,2.25,3,2.025,1.9124999999999999,1.8,1.6875,1.125,4,"MARKING, CONCENTRATION, POSITIONING, COMMUNICATION",Yes,63905/63906
Win the Ball,Defending,Medium,Yes,0.75,2.25,3,2.025,1.9124999999999999,1.8,1.6875,1.125,5,"BRAVERY, TACKLING, STRENGTH, DRIBBLING, MARKING",Yes,63905/63906
Cross Defence,Defending,Medium,Yes,0.75,2.25,3,2.025,1.9124999999999999,1.8,1.6875,1.125,5,"BRAVERY, CROSSING, AERIAL REACH, HEADING, MARKING",Yes,63905/63906
High Press,Defending,Hard,Yes,0.75,3,4,2.7,2.55,2.4000000000000004,2.25,1.5,5,"POSITIONING, TACKLING, AGGRESSION, MARKING, BRAVERY",Yes,63906
GK Protocol,Defending,Hard,Yes,0.75,3,4,2.7,2.55,2.4000000000000004,2.25,1.5,5,"AGILITY, AERIAL REACH, REFLEXES, KICKING, THROWING",Yes,63906
Touch Training,Possession,Very Easy,Yes,0.75,0.75,1,0.675,0.6375,0.6000000000000001,0.5625,0.375,4,"CREATIVITY, CONCENTRATION, HEADING, DRIBBLING",Yes,63907
Porky in Centre,Possession,Easy,Yes,0.75,1.5,2,1.35,1.275,1.2000000000000002,1.125,0.75,5,"POSITIONING, TACKLING, FITNESS, AGGRESSION, PASSING",Yes,63907
First Touch,Possession,Easy,Yes,0.75,1.5,2,1.35,1.275,1.2000000000000002,1.125,0.75,4,"FITNESS, THROWING, PASSING, DRIBBLING",Yes,63907/63908
Wide Switch,Possession,Medium,Yes,0.75,2.25,3,2.025,1.9124999999999999,1.8,1.6875,1.125,6,"CREATIVITY, COMMUNICATION, CROSSING, POSITIONING, PASSING, SPEED",Yes,63907/63908
Channel Hold,Possession,Medium,Yes,0.75,2.25,3,2.025,1.9124999999999999,1.8,1.6875,1.125,4,"SPEED, FITNESS, AERIAL REACH, POSITIONING",Yes,63907/63908
Physical Duel,Possession,Medium,Yes,0.75,2.25,3,2.025,1.9124999999999999,1.8,1.6875,1.125,5,"BRAVERY, STRENGTH, AGGRESSION, DRIBBLING, MARKING",Yes,63908
Build-Up Play,Possession,Hard,Yes,0.75,3,4,2.7,2.55,2.4000000000000004,2.25,1.5,5,"POSITIONING, FINISHING, ANTICIPATION, PASSING, CREATIVITY",Yes,63908
Activation,Physical,Very Easy,Yes,0.75,0.75,1,0.675,0.6375,0.6000000000000001,0.5625,0.375,4,"FITNESS, REFLEXES, AGGRESSION, HEADING",Yes,63909
Flexibility Session,Physical,Easy,Yes,0.75,1.5,2,1.35,1.275,1.2000000000000002,1.125,0.75,4,"SPEED, FITNESS, AGILITY, STRENGTH",Yes,63909
Footwork Ladder,Physical,Easy,Yes,0.75,1.5,2,1.35,1.275,1.2000000000000002,1.125,0.75,4,"CONCENTRATION, SPEED, AGILITY, AGGRESSION",Yes,63909
Endurance Loop,Physical,Medium,Yes,0.75,2.25,3,2.025,1.9124999999999999,1.8,1.6875,1.125,3,"CONCENTRATION, FITNESS, SPEED",Yes,63909/63910
Shuttle Run,Physical,Hard,Yes,0.75,3,4,2.7,2.55,2.4000000000000004,2.25,1.5,4,"SPEED, AGILITY, BRAVERY, STRENGTH",Yes,63909/63910
Hurdle Work,Physical,Hard,Yes,0.75,3,4,2.7,2.55,2.4000000000000004,2.25,1.5,4,"SPEED, AGGRESSION, BRAVERY, KICKING",Yes,63910
Weight Room,Physical,Very Hard,Yes,0.75,3.75,5,3.375,3.1875,3,2.8125,1.875,4,"FITNESS, THROWING, KICKING, STRENGTH",Yes,63910
Speed Work,Physical,Very Hard,Yes,0.75,3.75,5,3.375,3.1875,3,2.8125,1.875,4,"SPEED, FITNESS, RUSHING OUT, DRIBBLING",Yes,63910
